Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2023,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Payment system,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Payment system,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Payment system,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Payment system,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Payment system,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Payment system,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Payment system,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Payment system,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Payment system,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Intellectual property rights,Index: 1 = maximum restriction,0
2023,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Intellectual property rights,Index: 1 = maximum restriction,0
2022,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Intellectual property rights,Index: 1 = maximum restriction,0
2021,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Intellectual property rights,Index: 1 = maximum restriction,0
2018,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Intellectual property rights,Index: 1 = maximum restriction,0
2017,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Intellectual property rights,Index: 1 = maximum restriction,0
2016,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Intellectual property rights,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Intellectual property rights,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Intellectual property rights,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Intellectual property rights,Index: 1 = maximum restriction,0
2019,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Infrastructure and connectivity,Index: 1 = maximum restriction,0.12
2023,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Infrastructure and connectivity,Index: 1 = maximum restriction,0.12
2022,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Infrastructure and connectivity,Index: 1 = maximum restriction,0.12
2021,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Infrastructure and connectivity,Index: 1 = maximum restriction,0.12
2018,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Infrastructure and connectivity,Index: 1 = maximum restriction,0.12
2017,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Infrastructure and connectivity,Index: 1 = maximum restriction,0.12
2016,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2015,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2014,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2020,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Infrastructure and connectivity,Index: 1 = maximum restriction,0.12
2019,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Infrastructure and connectivity,Index: 1 = maximum restriction,0.12
2024,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Indicator DSTRI,Index: 1 = maximum restriction,0.16
2023,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Indicator DSTRI,Index: 1 = maximum restriction,0.16
2022,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Indicator DSTRI,Index: 1 = maximum restriction,0.16
2021,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Indicator DSTRI,Index: 1 = maximum restriction,0.16
2018,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Indicator DSTRI,Index: 1 = maximum restriction,0.16
2017,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Indicator DSTRI,Index: 1 = maximum restriction,0.16
2016,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Indicator DSTRI,Index: 1 = maximum restriction,0.04
2015,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Indicator DSTRI,Index: 1 = maximum restriction,0.04
2014,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Indicator DSTRI,Index: 1 = maximum restriction,0.04
2020,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Indicator DSTRI,Index: 1 = maximum restriction,0.16
2019,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Indicator DSTRI,Index: 1 = maximum restriction,0.16
2024,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Electronic transactions,Index: 1 = maximum restriction,0.02
2023,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Electronic transactions,Index: 1 = maximum restriction,0.02
2022,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Electronic transactions,Index: 1 = maximum restriction,0.02
2021,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Electronic transactions,Index: 1 = maximum restriction,0.02
2018,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Electronic transactions,Index: 1 = maximum restriction,0.02
2017,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Electronic transactions,Index: 1 = maximum restriction,0.02
2016,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Electronic transactions,Index: 1 = maximum restriction,0.02
2015,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Electronic transactions,Index: 1 = maximum restriction,0.02
2014,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Electronic transactions,Index: 1 = maximum restriction,0.02
2020,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Electronic transactions,Index: 1 = maximum restriction,0.02
2019,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Electronic transactions,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2023,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2022,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2021,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2018,OECD Digital Services Trade Restrictiveness Index,AUT,Austria,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
